subject,fullname,division
afam,African/African American Studies,Interdisciplinary Studies
afst,Africana Studies,Interdisciplinary Studies
ammu,American Music Minor,Arts & Literature
amst,American Studies,Interdisciplinary Studies
arbc,Arabic,Arts & Literature
arcn,Archaeology,Social Sciences
arth,Art History,Arts & Literature
asst,Asian Studies,Interdisciplinary Studies
astr,Astronomy,Natural Sciences & Mathematics
biol,Biology,Natural Sciences & Mathematics
chem,Chemistry,Natural Sciences & Mathematics
chin,Chinese,Arts & Literature
cams,Cinema and Media Studies,Arts & Literature
clas,Classics,Arts & Literature
cgsc,Cognitive Science,Social Sciences
cs,Computer Science,Natural Sciences & Mathematics
ccst,Cross-Cultural Studies,Interdisciplinary Studies
danc,Dance,Arts & Literature
dgah,Digital Arts and Humanities,Interdisciplinary Studies
econ,Economics,Social Sciences
educ,Educational Studies,Social Sciences
engl,English,Arts & Literature
ents,Environmental Studies,Natural Sciences & Mathematics
eust,European Studies,Interdisciplinary Studies
fren,French and Francophone Studies,Arts & Literature
gwss,"Gender, Women's &amp; Sexuality St",Interdisciplinary Studies
geol,Geology,Natural Sciences & Mathematics
germ,German,Arts & Literature
grk,Greek,Arts & Literature
hebr,Hebrew,Arts & Literature
hist,History,Humanities
idsc,Interdisciplinary,Interdisciplinary Studies
japn,Japanese,Arts & Literature
jalli,Japanese Language &amp; Literature,Arts & Literature
latn,Latin,Arts & Literature
ltam,Latin American Studies,Interdisciplinary Studies
ling,Linguistics,Social Sciences
lcst,Lit &amp; Cultural Studies,Interdisciplinary Studies
math,Mathematics,Natural Sciences & Mathematics
mars,Medieval and Renaissance St,Interdisciplinary Studies
mest,Middle East Studies,Interdisciplinary Studies
mela,Middle Eastern Languages,Arts & Literature
musc,Music,Arts & Literature
neur,Neuroscience,Natural Sciences & Mathematics
phil,Philosophy,Humanities
pe,"Phys-Ed, Ath/Rec",PEAR
phys,Physics,Natural Sciences & Mathematics
posc,Political Science,Social Sciences
psyc,Psychology,Social Sciences
relg,Religion,Humanities
russ,Russian,Arts & Literature
soan,Sociology/Anthropology,Social Sciences
span,Spanish,Arts & Literature
china,Special:  Chinese,Arts & Literature
dance,Special:  Dance,Arts & Literature
stat,Statistics,Natural Sciences & Mathematics
arts,Studio Art,Arts & Literature
thea,Theater Arts,Arts & Literature
wgst,Women's and Gender Studies,Interdisciplinary Studies